8	    0.000002185
        16	    0.000002243
        32	    0.000002204
        64	    0.000002212
       128	    0.000002793
       256	    0.000002840
       512	    0.000002957
      1024	    0.000002970
      2048	    0.000003107
      4096	    0.000003175
      8192	    0.000003570
     16384	    0.000004199
     32768	    0.000007553
     65536	    0.000008908
    131072	    0.000011675
    262144	    0.000017041
    524288	    0.000027965
   1048576	    0.000049703
   2097152	    0.000094068
   4194304	    0.000182989
   8388608	    0.000355438
  16777216	    0.000707035
  33554432	    0.001406029
  67108864	    0.002826346
 134217728	    0.005638960
 268435456	    0.011314940
 536870912	    0.022689801
1073741824	    0.045487287
