 8	    0.000001784
        16	    0.000001145
        32	    0.000001100
        64	    0.000001104
       128	    0.000001160
       256	    0.000001267
       512	    0.000001770
      1024	    0.000002381
      2048	    0.000003270
      4096	    0.000004965
      8192	    0.000004511
     16384	    0.000006950
     32768	    0.000013848
     65536	    0.000020372
    131072	    0.000038874
    262144	    0.000075482
    524288	    0.000149176
   1048576	    0.000294637
   2097152	    0.000585747
   4194304	    0.001198830
   8388608	    0.002324304
  16777216	    0.003217261
  33554432	    0.004798435
  67108864	    0.008179692
 134217728	    0.014970475
 268435456	    0.028021212
 536870912	    0.053843455
1073741824	    0.105902754
